kategoriNama;gudangId;gudangNama;propNama;TahunBulan;jumEks
ADMINISTRASI PAROKI;\N;\N;DIY;2022-08;1
ADMINISTRASI PAROKI;\N;\N;DIY;2024-08;2
ADMINISTRASI PAROKI;\N;\N;JATENG;2020-09;2
ADMINISTRASI PAROKI;\N;\N;JATENG;2021-10;1
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-01;3
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-02;10
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-03;2
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-06;3
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-08;4
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-09;1
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-10;1
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-11;5
ADMINISTRASI PAROKI;\N;\N;JATENG;2023-12;2
ADMINISTRASI PAROKI;\N;\N;JATENG;2024-05;1
ADMINISTRASI PAROKI;\N;\N;JATENG;2024-07;1
ADMINISTRASI PAROKI;\N;\N;JATENG;2024-08;5
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;BABEL;2023-09;1
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;BALI;2023-08;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;BALI;2023-09;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;BENGKULU;2024-05;1
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2020-01;3
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2020-04;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2020-08;14
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2021-01;6
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2021-08;6
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2021-09;40
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2021-11;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2021-12;1
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2022-03;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2022-06;20
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2022-10;1
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2022-11;24
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2022-12;6
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-01;14
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-02;24
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-03;4
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-04;3
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-06;11
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-07;21
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-09;3
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-10;1
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2023-11;10
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-01;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-02;3
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-03;3
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-04;13
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-05;7
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-06;4
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-07;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-10;7
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;DIY;2024-11;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JAMBI;2020-06;5
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-02;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-05;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-06;7
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-07;5
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-08;25
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-09;13
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-10;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-11;9
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2020-12;9
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-01;29
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-03;7
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-04;21
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-05;10
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-06;5
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-08;10
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-09;5
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-10;3
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2021-11;6
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2022-01;1
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2022-04;16
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2022-05;8
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2022-06;11
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2022-08;11
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2022-09;7
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2022-11;6
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2022-12;1
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2023-01;74
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2023-02;9
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2023-03;2
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2023-04;5
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2023-05;8
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2023-06;23
ADMINISTRASI PAROKI;1;GUDANG KANTOR PUSAT;JATENG;2023-07;10
