kategoriNama,propNama,TahunBulan,jumEks,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,rolling_3,rolling_6,rolling_12,year,month,sin_month,cos_month,kategoriCode,propCode
ADMINISTRASI PAROKI,DIY,2023-01-01,22.0,16.0,30.0,7.0,15.0,9.0,17.0,115.0,22.0,1.0,2.0,11.0,6.0,17.666666666666668,15.666666666666666,20.916666666666668,2023,1,0.49999999999999994,0.8660254037844387,0,4
ADMINISTRASI PAROKI,DIY,2023-02-01,46.0,22.0,16.0,30.0,7.0,15.0,9.0,17.0,115.0,22.0,1.0,2.0,11.0,22.666666666666668,16.5,22.25,2023,2,0.8660254037844386,0.5000000000000001,0,4
ADMINISTRASI PAROKI,DIY,2023-03-01,17.0,46.0,22.0,16.0,30.0,7.0,15.0,9.0,17.0,115.0,22.0,1.0,2.0,28.0,22.666666666666668,25.166666666666668,2023,3,1.0,6.123233995736766e-17,0,4
ADMINISTRASI PAROKI,DIY,2023-04-01,8.0,17.0,46.0,22.0,16.0,30.0,7.0,15.0,9.0,17.0,115.0,22.0,1.0,28.333333333333332,23.0,26.416666666666668,2023,4,0.8660254037844387,-0.4999999999999998,0,4
ADMINISTRASI PAROKI,DIY,2023-05-01,6.0,8.0,17.0,46.0,22.0,16.0,30.0,7.0,15.0,9.0,17.0,115.0,22.0,23.666666666666668,23.166666666666668,27.0,2023,5,0.49999999999999994,-0.8660254037844387,0,4
ADMINISTRASI PAROKI,DIY,2023-06-01,15.0,6.0,8.0,17.0,46.0,22.0,16.0,30.0,7.0,15.0,9.0,17.0,115.0,10.333333333333334,19.166666666666668,25.666666666666668,2023,6,1.2246467991473532e-16,-1.0,0,4
ADMINISTRASI PAROKI,DIY,2023-07-01,32.0,15.0,6.0,8.0,17.0,46.0,22.0,16.0,30.0,7.0,15.0,9.0,17.0,9.666666666666666,19.0,17.333333333333332,2023,7,-0.4999999999999997,-0.8660254037844388,0,4
ADMINISTRASI PAROKI,DIY,2023-08-01,18.0,32.0,15.0,6.0,8.0,17.0,46.0,22.0,16.0,30.0,7.0,15.0,9.0,17.666666666666668,20.666666666666668,18.583333333333332,2023,8,-0.8660254037844385,-0.5000000000000004,0,4
ADMINISTRASI PAROKI,DIY,2023-09-01,4.0,18.0,32.0,15.0,6.0,8.0,17.0,46.0,22.0,16.0,30.0,7.0,15.0,21.666666666666668,16.0,19.333333333333332,2023,9,-1.0,-1.8369701987210297e-16,0,4
ADMINISTRASI PAROKI,DIY,2023-10-01,14.0,4.0,18.0,32.0,15.0,6.0,8.0,17.0,46.0,22.0,16.0,30.0,7.0,18.0,13.833333333333334,18.416666666666668,2023,10,-0.8660254037844386,0.5000000000000001,0,4
ADMINISTRASI PAROKI,DIY,2023-11-01,14.0,14.0,4.0,18.0,32.0,15.0,6.0,8.0,17.0,46.0,22.0,16.0,30.0,12.0,14.833333333333334,19.0,2023,11,-0.5000000000000004,0.8660254037844384,0,4
ADMINISTRASI PAROKI,DIY,2023-12-01,4.0,14.0,14.0,4.0,18.0,32.0,15.0,6.0,8.0,17.0,46.0,22.0,16.0,10.666666666666666,16.166666666666668,17.666666666666668,2023,12,-2.4492935982947064e-16,1.0,0,4
ADMINISTRASI PAROKI,DIY,2024-01-01,6.0,4.0,14.0,14.0,4.0,18.0,32.0,15.0,6.0,8.0,17.0,46.0,22.0,10.666666666666666,14.333333333333334,16.666666666666668,2024,1,0.49999999999999994,0.8660254037844387,0,4
ADMINISTRASI PAROKI,DIY,2024-02-01,5.0,6.0,4.0,14.0,14.0,4.0,18.0,32.0,15.0,6.0,8.0,17.0,46.0,8.0,10.0,15.333333333333334,2024,2,0.8660254037844386,0.5000000000000001,0,4
ADMINISTRASI PAROKI,DIY,2024-03-01,3.0,5.0,6.0,4.0,14.0,14.0,4.0,18.0,32.0,15.0,6.0,8.0,17.0,5.0,7.833333333333333,11.916666666666666,2024,3,1.0,6.123233995736766e-17,0,4
ADMINISTRASI PAROKI,DIY,2024-04-01,14.0,3.0,5.0,6.0,4.0,14.0,14.0,4.0,18.0,32.0,15.0,6.0,8.0,4.666666666666667,7.666666666666667,10.75,2024,4,0.8660254037844387,-0.4999999999999998,0,4
ADMINISTRASI PAROKI,DIY,2024-05-01,16.0,14.0,3.0,5.0,6.0,4.0,14.0,14.0,4.0,18.0,32.0,15.0,6.0,7.333333333333333,7.666666666666667,11.25,2024,5,0.49999999999999994,-0.8660254037844387,0,4
ADMINISTRASI PAROKI,DIY,2024-06-01,6.0,16.0,14.0,3.0,5.0,6.0,4.0,14.0,14.0,4.0,18.0,32.0,15.0,11.0,8.0,12.083333333333334,2024,6,1.2246467991473532e-16,-1.0,0,4
ADMINISTRASI PAROKI,DIY,2024-07-01,14.0,6.0,16.0,14.0,3.0,5.0,6.0,4.0,14.0,14.0,4.0,18.0,32.0,12.0,8.333333333333334,11.333333333333334,2024,7,-0.4999999999999997,-0.8660254037844388,0,4
ADMINISTRASI PAROKI,DIY,2024-08-01,4.0,14.0,6.0,16.0,14.0,3.0,5.0,6.0,4.0,14.0,14.0,4.0,18.0,12.0,9.666666666666666,9.833333333333334,2024,8,-0.8660254037844385,-0.5000000000000004,0,4
ADMINISTRASI PAROKI,DIY,2024-09-01,0.0,4.0,14.0,6.0,16.0,14.0,3.0,5.0,6.0,4.0,14.0,14.0,4.0,8.0,9.5,8.666666666666666,2024,9,-1.0,-1.8369701987210297e-16,0,4
ADMINISTRASI PAROKI,DIY,2024-10-01,10.0,0.0,4.0,14.0,6.0,16.0,14.0,3.0,5.0,6.0,4.0,14.0,14.0,6.0,9.0,8.333333333333334,2024,10,-0.8660254037844386,0.5000000000000001,0,4
ADMINISTRASI PAROKI,DIY,2024-11-01,4.0,10.0,0.0,4.0,14.0,6.0,16.0,14.0,3.0,5.0,6.0,4.0,14.0,4.666666666666667,8.333333333333334,8.0,2024,11,-0.5000000000000004,0.8660254037844384,0,4
ADMINISTRASI PAROKI,DKI,2023-01-01,3.0,0.0,0.0,0.0,15.0,0.0,8.0,19.0,0.0,9.0,0.0,0.0,0.0,0.0,3.8333333333333335,4.25,2023,1,0.49999999999999994,0.8660254037844387,0,5
ADMINISTRASI PAROKI,DKI,2023-02-01,7.0,3.0,0.0,0.0,0.0,15.0,0.0,8.0,19.0,0.0,9.0,0.0,0.0,1.0,3.0,4.5,2023,2,0.8660254037844386,0.5000000000000001,0,5
ADMINISTRASI PAROKI,DKI,2023-03-01,0.0,7.0,3.0,0.0,0.0,0.0,15.0,0.0,8.0,19.0,0.0,9.0,0.0,3.3333333333333335,4.166666666666667,5.083333333333333,2023,3,1.0,6.123233995736766e-17,0,5
ADMINISTRASI PAROKI,DKI,2023-04-01,0.0,0.0,7.0,3.0,0.0,0.0,0.0,15.0,0.0,8.0,19.0,0.0,9.0,3.3333333333333335,1.6666666666666667,5.083333333333333,2023,4,0.8660254037844387,-0.4999999999999998,0,5
